title;price;place a;place b;place c;size;lat;long
Luks stan;246.000,00;"Beograd ";"Opština Rakovica ";"Vidikovac ";117;44.7383997;20.4205895
Retko u ponudi 118 kvm + Garaža Svetog Save;495.000,00;"Beograd ";"Opština Vračar ";"Hram svetog Save ";118;44.7981382;20.4690468
Leštane residence u strogom centru pored crkve lux;109.895,00;"Beograd ";"Opština Grocka ";"Leštane ";57,87;44.7306842;20.5755643
Leštane residence u strogom centru pored crkve lux;132.967,00;"Beograd ";"Opština Grocka ";"Grocka (mesto) ";70;44.6705404;20.7173705
Novi Beograd - Blok 33-74m2-Uknjižen ID#2264;192.000,00;"Beograd ";"Opština Novi Beograd ";Blok 33;74;44.8205858;20.4074632
Novo u ponudi ID#119934;128.000,00;"Beograd ";"Opština Zemun ";"Gornji grad ";65;46.2961712;14.8062347
Uknjižen, lep 1.0 stan ID#1178;125.000,00;"Beograd ";"Opština Vračar ";"Crveni krst ";41;44.795856;20.4882292
2.5 stan na B. Kosi u vojnoj zgradi ID#1247;175.000,00;"Beograd ";"Opština Novi Beograd ";Bežanijska kosa 2;78;44.8189019;20.3858748
Retko! Dedinje, Kronstatska;149.000,00;"Beograd ";"Opština Savski venac ";"Dedinje ";40;44.77406879999999;20.4560195
Belvil, 101m2, Top Pozicija, Garažno mesto;315.000,00;"Beograd ";"Opština Novi Beograd ";Blok 67 (Belvil);101;44.8054293;20.407693
Mirijevo2, 67m2 Komplet renoviran, Otvoren pogled;117.000,00;"Beograd ";"Opština Zvezdara ";"Mirijevo ";67;44.7854051;20.5461547
Lux stan-odmah useljiv-uknjiženo;165.000,00;"Beograd ";"Opština Čukarica ";"Banovo brdo ";67;44.7767729;20.4155629
Fantastican stan, Centar, Savski trg 2.0.;175.000,00;"Beograd ";"Opština Savski venac ";"Savski trg - Pristanište ";56;44.8083711;20.4570323
Zemun, noviji četvorosoban stan;135.000,00;"Beograd ";"Opština Zemun ";"Meandri ";73;null;null
Konjarnik, dr Zore Ilić Obradović (ID: 814) ID#814;134.000,00;"Beograd ";"Opština Zvezdara ";"Konjarnik ";62;44.7827202;20.5067648
Kod Zvezdara teatra, Milana Rakića (ID: 815) ID#81;212.500,00;"Beograd ";"Opština Zvezdara ";"Lion ";85;null;null
“Alaska” oaza mira dvoiposoban stan;119.600,00;"Beograd ";"Opština Zemun ";"Gornji grad ";52;46.2961712;14.8062347
West 65, deluxe stan, za preporuku, ID 19429;854.850,00;"Beograd ";"Opština Novi Beograd ";Blok 65;123;44.8126665;20.3980309
Kaluđerica, Novogradnja 23-50m2 garsonjere i 1.5;62.120,00;"Beograd ";"Opština Grocka ";"Kaluđerica ";41,41;44.7522835;20.5559331
Urbani salonac sa pogledom na Dunav;595.000,00;"Beograd ";"Opština Zemun ";"Centar ";160;34.8325353;-92.1873959
Prodaja stana Cerak vinogradi;90.000,00;"Beograd ";"Opština Čukarica ";"Cerak vinogradi ";48;44.7453393;20.422222
Vračar, 3.0, Beogradska;195.000,00;"Beograd ";"Opština Vračar ";"Beogradska ";78;44.8125449;20.46123
Strahinjića Bana, Gornji Dorćol - Stari grad;247.000,00;"Beograd ";"Opština Stari grad ";"Centar ";72;34.8325353;-92.1873959
A blok, lux, novogradnja, garaža, ID 19807;150.000,00;"Beograd ";"Opština Novi Beograd ";Blok 67a (A blok);31;44.8061288;20.4015421
A blok, lux, novogradnja, garaža, ID 19799;390.000,00;"Beograd ";"Opština Novi Beograd ";Blok 67a (A blok);80;44.8061288;20.4015421
A blok, lux, novogradnja, garaža, ID 19798;335.000,00;"Beograd ";"Opština Novi Beograd ";Blok 67a (A blok);66;44.8061288;20.4015421
Jednosoban - nova - smanjena cena, Banjica 38m2;82.000,00;"Beograd ";"Opština Voždovac ";"Banjica ";38;44.7621061;20.4683341
A blok, lux, novogradnja, garaža, ID 19797;330.000,00;"Beograd ";"Opština Novi Beograd ";Blok 67a (A blok);68;44.8061288;20.4015421
Zemun centar sredjen odličan trosoban, miran deo;149.900,00;"Beograd ";"Opština Zemun ";"Cara Dušana ";61;44.822642;20.4614542
Odlična investicija;67.000,00;"Beograd ";"Opština Čukarica ";"Čukarička padina ";30;44.7791826;20.4058581
“Alaska” oaza mira;92.000,00;"Beograd ";"Opština Zemun ";"Gornji grad ";40;46.2961712;14.8062347
“Alaska” oaza mira - jednoiposoban stan;108.100,00;"Beograd ";"Opština Zemun ";"Gornji grad ";47;46.2961712;14.8062347
Hitna prodaja, dvosoban stan na 7. spratu, BW Eter;219.000,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";55,40;44.80488280000001;20.448043
Skadarska 3 Conza Properties doo;250.000,00;"Beograd ";"Opština Zemun ";"Tošin bunar ";96,61;44.8174406;20.3948763
Hilandarska 168m + 2 garažna mesta ID#1142;580.000,00;"Beograd ";"Opština Stari grad ";"Centar ";168;34.8325353;-92.1873959
1.5 Kanarevo brdo, uknjižen;90.000,00;"Beograd ";"Opština Rakovica ";"Kanarevo brdo ";42;44.7540124;20.4534458
Novi Beograd - Blok 64-3.0-Uknjižen-Namešten ID#22;218.000,00;"Beograd ";"Opština Novi Beograd ";Blok 64;76;44.808996;20.3917616
Južni bulevar 174 direktna prodaja od investitora;93.540,00;"Beograd ";"Opština Vračar ";"Južni bulevar ";31,18;44.793588;20.4809591
Južni bulevar 174 direktna prodaja od investitora;202.160,00;"Beograd ";"Opština Vračar ";"Južni bulevar ";68,53;44.793588;20.4809591
Južni bulevar 174 direktna prodaja od investitora;203.280,00;"Beograd ";"Opština Vračar ";"Južni bulevar ";67,76;44.793588;20.4809591
Južni bulevar 174 direktna prodaja od investitora;216.360,00;"Beograd ";"Opština Vračar ";"Južni bulevar ";72,12;44.793588;20.4809591
Južni bulevar 174 direktna prodaja od investitora;219.690,00;"Beograd ";"Opština Vračar ";"Južni bulevar ";73,23;44.793588;20.4809591
2.0, Vračar, Ljubostinjska, 54m2;178.000,00;"Beograd ";"Opština Vračar ";"Centar ";54;34.8325353;-92.1873959
Kanarevo brdo – trosoban – novija gradnja;160.000,00;"Beograd ";"Opština Rakovica ";"Kanarevo brdo ";67;44.7540124;20.4534458
Tašmajdan, lux, novogradnja, 3.0, ID 19760;298.000,00;"Beograd ";"Opština Palilula ";"Tašmajdan ";71;44.8096815;20.469996
Park apartman, namešten, garaža, ID 10668;290.000,00;"Beograd ";"Opština Novi Beograd ";Blok 19a;84;44.8062034;20.4295152
Krajiška, Zemun ID#1312;94.900,00;"Beograd ";"Opština Zemun ";"Novi grad ";53;45.0486976;16.3746171
A blok, penthaus, duplex, 4.0, ID 19750;623.150,00;"Beograd ";"Opština Novi Beograd ";Blok 67a (A blok);121;44.8061288;20.4015421
Voždovac-Vojvode Stepe ID#1181;180.000,00;"Beograd ";"Opština Voždovac ";"Autokomanda ";81,26;44.7902717;20.46634
Gundulićev venac, novogradnja, garaža, ID 19744;400.000,00;"Beograd ";"Opština Stari grad ";"Gundulićev venac ";94;44.8203336;20.4690457
Banovo brdo - uknjižen;89.000,00;"Beograd ";"Opština Čukarica ";"Banovo brdo ";35;44.7767729;20.4155629
Čukarica, Banovo brdo - Požeška;230.000,00;"Beograd ";"Opština Čukarica ";"Banovo brdo ";99;44.7767729;20.4155629
Moderan stan u srcu Dedinja;395.000,00;"Beograd ";"Opština Savski venac ";"Dedinje ";98;44.77406879999999;20.4560195
Banovo brdo, nov četvorosoban sa lepim pogledom;343.000,00;"Beograd ";"Opština Čukarica ";"Banovo brdo ";120;44.7767729;20.4155629
Lux penthaus novogradnja104 m2 (92m2) 3.0 (4.0);316.000,00;"Beograd ";"Opština Zvezdara ";"Lipov lad ";104;44.7953694;20.4940689
Kompletno namešten stan ID#120850;110.000,00;"Beograd ";"Opština Voždovac ";"Lekino brdo ";31;44.7891937;20.4947692
Najluksuzniji penthouse u Beogradu;1.500.000,00;"Beograd ";"Opština Voždovac ";"Vojvode Stepe ";650;44.7608581;20.4848359
Hitna prodaja u Vojvode Stepe;345.000,00;"Beograd ";"Opština Voždovac ";"Vojvode Stepe ";150;44.7608581;20.4848359
Hitna prodaja stana u Vojvode Stepe;275.000,00;"Beograd ";"Opština Voždovac ";"Vojvode Stepe ";124;44.7608581;20.4848359
Hitna prodaja deluxe stan u Vojvode Stepe;275.000,00;"Beograd ";"Opština Voždovac ";"Vojvode Stepe ";118;44.7608581;20.4848359
85m2 – Vračar, Čuburski park/Crveni krst, Beograd;293.590,00;"Beograd ";"Opština Vračar ";"Čubura ";85;44.7954768;20.4773131
77m2 – Dušana Popovića, Zvezdara, Kluz, Beograd;135.000,00;"Beograd ";"Opština Zvezdara ";"Kluz ";77;46.7712101;23.6236353
64m2 - Radnička, Ada Cigalnija, Banovo brdo, Beogr;148.000,00;"Beograd ";"Opština Čukarica ";"Ada Ciganlija ";64;44.7918226;20.4126107
Novo na Dorćolu;184.800,00;"Beograd ";"Opština Stari grad ";"Dorćol ";44;44.8252158;20.460523
Novo na Dorćolu;223.690,00;"Beograd ";"Opština Stari grad ";"Dorćol ";53,26;44.8252158;20.460523
Odličan, uknjižen stan na Vidikovcu;99.000,00;"Beograd ";"Opština Rakovica ";"Vidikovac ";60;44.7383997;20.4205895
Useljenje mart 2023, završni radovi u toku;169.400,00;"Beograd ";"Opština Savski venac ";"Stadion Partizana ";53,11;44.788511;20.4585281
Useljivo do kraja marta;244.770,00;"Beograd ";"Opština Savski venac ";"Stadion Partizana ";76,73;44.788511;20.4585281
Uknjižen stan 1. sprat, Konjarnik, Zidarska ulica;114.679,00;"Beograd ";"Opština Zvezdara ";"Konjarnik ";42,61;44.7827202;20.5067648
2.0 Tršćanska, uknjižen za renoviranje;99.000,00;"Beograd ";"Opština Zemun ";"Cara Dušana ";61;44.822642;20.4614542
Prelep svetao jedinstven stan na Vozdovcu-Kumodraz;95.670,00;"Beograd ";"Opština Voždovac ";"Kumodraž ";50;44.73943329999999;20.5098129
3.5 stan na Banovom brdu;260.000,00;"Beograd ";"Opština Čukarica ";"Banovo brdo ";85,07;44.7767729;20.4155629
Dedinje,u blizini Pinka, 154,5 kvm, parking mesto;399.000,00;"Beograd ";"Opština Savski venac ";"Dedinje ";154,50;44.77406879999999;20.4560195
A Blok, Sakura park, nov luksuzan trosoban stan;300.000,00;"Beograd ";"Opština Novi Beograd ";Blok 67a (A blok);89;44.8061288;20.4015421
Voždovačka crkva, Vojvode Stepe Stepanovića;199.000,00;"Beograd ";"Opština Voždovac ";"Voždovačka crkva ";63;44.779525;20.4711979
Savski venac,Beograd na vodi,Bulevar Vudroa Vilson;217.000,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";30;44.80488280000001;20.448043
Zvezdara, Ljube Davidovića, Stan, 3.0, 66m2;160.000,00;"Beograd ";"Opština Zvezdara ";"Denkova bašta ";66;44.7880311;20.5009891
Kompletno renoviran, odmah useljiv. ID#1176;339.000,00;"Beograd ";"Opština Novi Beograd ";Blok 33;103;44.8205858;20.4074632
Trosoban stan na Galenici;160.000,00;"Beograd ";"Opština Zemun ";"Galenika ";71;44.85708289999999;20.3672942
Crveni krst useljiv četvorosoban;258.960,00;"Beograd ";"Opština Vračar ";"Crveni krst ";104;44.795856;20.4882292
Kursulina, kompletno sređen 3.0 salonac od 86m2;309.000,00;"Beograd ";"Opština Vračar ";"Kalenić pijaca ";86;44.8001747;20.475769
Tašmajdan,super 2.5 stan, lux zgrada,top lokacija;226.000,00;"Beograd ";"Opština Palilula ";"Tašmajdan ";58;44.8096815;20.469996
Vračar, Hram Svetog Save, 3.0, 108m2, lux;486.000,00;"Beograd ";"Opština Vračar ";"Hram svetog Save ";108;44.7981382;20.4690468
Super lux 1.5, namešten sa garažom, 34m2;143.000,00;"Beograd ";"Opština Vračar ";"Kalenić pijaca ";34;44.8001747;20.475769
"Paunov Breg; Garsonjera";81.200,00;"Beograd ";"Opština Voždovac ";"Banjica ";29;44.7621061;20.4683341
Stari grad, Dorćol ID#4789;291.000,00;"Beograd ";"Opština Stari grad ";"Kalemegdan ";97;44.8222662;20.4508992
Geneks, biznis, 70m2, lux,renoviran, prelep pogled;189.000,00;"Beograd ";"Opština Novi Beograd ";Blok 33;70;44.8205858;20.4074632
Zvezdara, Bulbulder - Svetog Nikole;88.000,00;"Beograd ";"Opština Zvezdara ";"Bulbulder ";40;44.8028978;20.492606
Voždovac, FON - Vojvode Stepe;85.000,00;"Beograd ";"Opština Voždovac ";"FON - Bilećka ";27;44.7677617;20.4786785
Zvezdara, Kluz - Dušana Radovića;135.000,00;"Beograd ";"Opština Zvezdara ";"Kluz ";60;46.7712101;23.6236353
Savski venac, Klinički centar - Kneza Miloša;255.000,00;"Beograd ";"Opština Savski venac ";"Klinički centar ";90;43.8691644;18.4156868
Palilula, Bogoslovija - Milice Janković;132.000,00;"Beograd ";"Opština Palilula ";"Bogoslovija ";63;44.8151594;20.488473
New Minel, lux, novogradnja, garaža, ID 17814;320.000,00;"Beograd ";"Opština Novi Beograd ";Blok 65;95;44.8126665;20.3980309
Dodir Zvezdarske šume ID#3686;148.870,00;"Beograd ";"Opština Zvezdara ";"Gradska bolnica ";51,07;null;null
Lux novogradnja, rok izgradnje april 2023, 91.06m2;250.145,00;"Beograd ";"Opština Zvezdara ";"Zvezdarska šuma ";91,06;44.8008537;20.5132406
BW, Aria 109,21m2 ID#4810;455.000,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";109;44.80488280000001;20.448043
New Minel, lux, novogradnja, dve garaže, ID 18686;615.000,00;"Beograd ";"Opština Novi Beograd ";Blok 65;148;44.8126665;20.3980309
Green Residence;125.000,00;"Beograd ";"Opština Palilula ";"Hala Pionir ";33;44.815548;20.4847738
Nov, četvorosoban apartman idealan za poslovanje;388.900,00;"Beograd ";"Opština Novi Beograd ";Blok 64;116,20;44.808996;20.3917616
